<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20080809,1500.00,1500.00,1500.00,1500.00,2230300000,3345450000000.00,19267,0.00
?????,20080810,1545.00,1545.00,1545.00,1545.00,64168880,99140919600.00,4389,1500.00
?????,20080811,1591.00,1591.00,1553.00,1553.00,3380431,5378265341.00,501,1545.00
?????,20080812,1599.00,1599.00,1556.00,1556.00,1062213,1698478157.00,296,1553.00
?????,20080813,1602.00,1602.00,1563.00,1563.00,2628987,4211636784.00,649,1556.00
?????,20080816,1609.00,1609.00,1570.00,1570.00,2899995,4666091565.00,750,1563.00
?????,20080818,1617.00,1617.00,1580.00,1615.00,263752470,426123036649.00,15325,1570.00
?????,20080819,1617.00,1655.00,1568.00,1595.00,51973731,82949216700.00,3741,1615.00
?????,20080820,1580.00,1642.00,1552.00,1620.00,40288734,65275556461.00,2637,1595.00
?????,20080823,1650.00,1668.00,1638.00,1638.00,7321796,12204681128.00,624,1620.00
?????,20080824,1687.00,1687.00,1640.00,1640.00,613157,1034395389.00,101,1638.00
?????,20080825,1689.00,1689.00,1644.00,1644.00,1442471,2436333069.00,225,1640.00
?????,20080826,1693.00,1693.00,1654.00,1654.00,3683134,6235545472.00,500,1644.00
?????,20080827,1703.00,1703.00,1663.00,1663.00,3278275,5582901925.00,618,1654.00
?????,20080830,1712.00,1712.00,1668.00,1668.00,1971974,3376019048.00,321,1663.00
?????,20080831,1718.00,1718.00,1710.00,1717.00,203253899,349180375699.00,9699,1668.00
?????,20080901,1750.00,1768.00,1727.00,1765.00,48361658,85390046457.00,2734,1717.00
?????,20080902,1817.00,1817.00,1800.00,1800.00,12360001,22458121647.00,801,1765.00
?????,20080903,1854.00,1854.00,1803.00,1803.00,1136028,2106195402.00,137,1800.00
?????,20080906,1857.00,1857.00,1820.00,1820.00,5892044,10941525338.00,715,1803.00
?????,20080907,1874.00,1874.00,1862.00,1873.00,76748133,143822061632.00,4794,1820.00
?????,20080908,1929.00,1929.00,1895.00,1895.00,7291960,14066190500.00,800,1873.00
?????,20080909,1951.00,1951.00,1914.00,1914.00,6373521,12434739101.00,858,1895.00
?????,20080910,1971.00,1971.00,1938.00,1938.00,7713930,15204155700.00,983,1914.00
