<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????,20130310,0.00,0.00,0.00,1000.00,0,0.00,0,0.00
????,20130311,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130312,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130313,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130316,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130317,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130318,9950.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130325,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130326,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130327,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130330,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130331,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130403,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130406,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130407,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130408,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130409,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130410,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130413,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130415,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
????,20130416,7500.00,7500.00,7500.00,7500.00,1400000,10500000000.00,1,1000.00
????,20130417,7700.00,7800.00,7680.00,7788.00,79684517,620595738957.00,8176,7500.00
????,20130420,7900.00,7940.00,7560.00,7754.00,30366404,235468238335.00,5599,7788.00
????,20130421,7609.00,7849.00,7520.00,7713.00,36871260,284391672389.00,4884,7754.00
????,20130422,7950.00,8021.00,7903.00,8003.00,10496140,83996412783.00,890,7713.00
????,20130423,8323.00,8323.00,8323.00,8054.00,1184636,9859725428.00,164,8003.00
????,20130424,8376.00,8376.00,8376.00,8106.00,1200750,10057482000.00,154,8054.00
????,20130427,8430.00,8430.00,8430.00,8127.00,490978,4138944540.00,107,8106.00
????,20130428,8452.00,8452.00,8452.00,8181.00,1224586,10350200872.00,119,8127.00
????,20130429,8508.00,8508.00,8508.00,8197.00,369499,3143697492.00,65,8181.00
????,20130430,8524.00,8524.00,8524.00,8223.00,590511,5033515764.00,107,8197.00
????,20130501,8551.00,8551.00,8551.00,8257.00,778980,6661057980.00,82,8223.00
????,20130504,8587.00,8587.00,8587.00,8286.00,664311,5704438557.00,124,8257.00
????,20130505,8617.00,8617.00,8617.00,8317.00,686204,5913019868.00,106,8286.00
????,20130506,8649.00,8649.00,8649.00,8649.00,8837712,76437371088.00,237,8317.00
????,20130507,8994.00,8994.00,8994.00,8994.00,9446411,84961020534.00,243,8649.00
????,20130508,9353.00,9353.00,9100.00,9315.00,186234243,1734847547056.00,13128,8994.00
????,20130511,9299.00,9687.00,9104.00,9453.00,48991087,463124906612.00,5708,9315.00
????,20130512,9831.00,9831.00,9550.00,9815.00,67650444,663999240839.00,4753,9453.00
????,20130513,9900.00,10207.00,9820.00,10093.00,39811901,401820243596.00,4206,9815.00
????,20130514,9989.00,10000.00,9690.00,9735.00,35654854,347082682733.00,3501,10093.00
????,20130515,9930.00,10124.00,9400.00,9886.00,44506577,440002985590.00,4805,9735.00
????,20130518,9511.00,9590.00,9491.00,9584.00,5793642,55027107205.00,516,9886.00
????,20130519,9201.00,9479.00,9201.00,9227.00,63548067,586387421609.00,5327,9584.00
????,20130520,9200.00,9398.00,9121.00,9243.00,16182852,149576950818.00,3029,9227.00
????,20130521,9002.00,9100.00,8874.00,8943.00,22660069,202654011108.00,3206,9243.00
????,20130522,8700.00,9187.00,8600.00,8918.00,11716805,104496320496.00,2135,8943.00
????,20130525,9200.00,9274.00,9151.00,9022.00,2253471,20868406595.00,320,8918.00
????,20130526,9382.00,9382.00,9382.00,9101.00,1639309,15379997038.00,137,9022.00
????,20130527,9465.00,9465.00,9465.00,9465.00,11151713,105550963545.00,491,9101.00
????,20130528,9700.00,9843.00,9600.00,9761.00,32906750,321203274515.00,3413,9465.00
????,20130529,9905.00,10151.00,9905.00,10135.00,29467222,298639882574.00,2550,9761.00
????,20130601,10140.00,10400.00,9730.00,9933.00,25834272,256616303881.00,2324,10135.00
????,20130602,9670.00,9950.00,9670.00,9818.00,21119559,207350107762.00,2779,9933.00
????,20130603,9860.00,10210.00,9777.00,10083.00,32980495,332547939133.00,3301,9818.00
????,20130608,10370.00,10370.00,10059.00,10255.00,23856349,244640607977.00,2722,10083.00
????,20130609,10250.00,10250.00,9845.00,9963.00,18789866,187205502920.00,2860,10255.00
????,20130610,9700.00,9997.00,9611.00,9772.00,18502757,180809000445.00,3455,9963.00
????,20130611,9776.00,9900.00,9530.00,9619.00,12663180,121800986652.00,2704,9772.00
????,20130612,9598.00,9598.00,9351.00,9452.00,16370437,154727504944.00,2253,9619.00
????,20130615,9830.00,9830.00,9800.00,9618.00,3275925,32201588090.00,372,9452.00
????,20130616,10002.00,10002.00,9752.00,9979.00,29804682,297416118693.00,2421,9618.00
????,20130617,10000.00,10005.00,9750.00,9913.00,12362082,122540998186.00,1660,9979.00
????,20130618,9900.00,9938.00,9740.00,9801.00,12601329,123504448505.00,1592,9913.00
????,20130619,9761.00,9870.00,9700.00,9755.00,9869644,96280949256.00,1503,9801.00
????,20130622,9821.00,9821.00,9365.00,9433.00,18811507,177440387961.00,2031,9755.00
????,20130623,9208.00,9500.00,9208.00,9387.00,7689130,72177021730.00,1205,9433.00
????,20130625,9401.00,9450.00,9251.00,9344.00,4742291,44197583957.00,944,9387.00
????,20130626,9475.00,9717.00,9412.00,9675.00,9151196,88538161290.00,1325,9344.00
????,20130629,9870.00,10020.00,9770.00,9916.00,10238979,101526115133.00,1549,9675.00
????,20130630,9950.00,10010.00,9750.00,9933.00,14371785,142752609618.00,1828,9916.00
????,20130701,9950.00,10300.00,9862.00,10103.00,11851191,119735996486.00,1834,9933.00
????,20130702,10052.00,10057.00,9740.00,9879.00,7584617,74928452029.00,1234,10103.00
????,20130703,9750.00,9949.00,9711.00,9820.00,15485412,152071282187.00,2297,9879.00
????,20130706,9900.00,10212.00,9880.00,10159.00,13072342,132797212207.00,1276,9820.00
????,20130707,10565.00,10565.00,10159.00,10515.00,36665305,385530040273.00,3688,10159.00
????,20130708,10580.00,10580.00,10240.00,10405.00,8871000,92299125530.00,1261,10515.00
????,20130709,10300.00,10390.00,10054.00,10180.00,11155213,113563809046.00,1464,10405.00
????,20130710,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130713,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130714,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130715,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130716,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130717,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130720,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130721,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130722,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130723,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130724,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130727,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130728,0.00,0.00,0.00,10180.00,0,0.00,0,10180.00
????,20130729,8700.00,9000.00,8700.00,8860.00,31372446,277944277919.00,2061,10180.00
????,20130731,8810.00,9098.00,8700.00,8863.00,15634029,138556807188.00,2337,8860.00
????,20130803,8850.00,8850.00,8509.00,8603.00,20476274,176163064180.00,2248,8863.00
????,20130804,8402.00,8510.00,8321.00,8390.00,15395336,129168581907.00,1262,8603.00
????,20130805,8533.00,8725.00,8533.00,8666.00,6722424,58456206202.00,492,8390.00
????,20130806,8990.00,9012.00,8870.00,8986.00,15166794,136285766634.00,1462,8666.00
????,20130807,9200.00,9300.00,8902.00,9012.00,12460440,112294498445.00,1579,8986.00
????,20130811,9285.00,9372.00,9150.00,9321.00,9350627,87160077842.00,1251,9012.00
????,20130812,9370.00,9569.00,9290.00,9396.00,12211486,114740242348.00,1158,9321.00
????,20130813,9355.00,9450.00,9021.00,9109.00,7818385,71215236033.00,923,9396.00
????,20130814,0.00,0.00,0.00,9109.00,0,0.00,0,9109.00
????,20130817,9473.00,9473.00,9330.00,9463.00,16548816,156607143160.00,1046,9109.00
????,20130818,9378.00,9378.00,9086.00,9295.00,3984045,36452528444.00,596,9463.00
????,20130819,9250.00,9399.00,9130.00,9248.00,4008184,36908352546.00,533,9295.00
????,20130820,9250.00,9250.00,8880.00,9122.00,3379022,30315021686.00,572,9248.00
????,20130821,9037.00,9200.00,8935.00,9092.00,4658628,42274247802.00,453,9122.00
????,20130824,9100.00,9199.00,8970.00,9077.00,5696162,51676985377.00,536,9092.00
????,20130825,9040.00,9040.00,8900.00,8975.00,9053940,81261131925.00,735,9077.00
????,20130826,8900.00,9199.00,8853.00,9020.00,9362683,84449834632.00,867,8975.00
????,20130827,9200.00,9260.00,8880.00,9052.00,9960360,90163961665.00,768,9020.00
????,20130828,8700.00,8869.00,8690.00,8707.00,13362506,116349499986.00,924,9052.00
????,20130831,8726.00,8980.00,8726.00,8742.00,1658130,14699882983.00,296,8707.00
????,20130901,9078.00,9091.00,8833.00,9088.00,9519926,86514338494.00,503,8742.00
????,20130903,9350.00,9351.00,9001.00,9147.00,3719282,34240046039.00,513,9088.00
????,20130904,9099.00,9099.00,8782.00,8812.00,16465858,145102637414.00,1048,9147.00
????,20130907,8602.00,9090.00,8602.00,8822.00,1733860,15350694057.00,378,8812.00
????,20130908,8899.00,9050.00,8851.00,8857.00,1445168,13012824569.00,307,8822.00
????,20130909,9050.00,9100.00,8916.00,8897.00,1669020,15076834480.00,262,8857.00
????,20130910,9130.00,9252.00,9130.00,9153.00,5415193,50082955311.00,561,8897.00
????,20130911,9519.00,9519.00,9452.00,9518.00,10183867,96934152091.00,865,9153.00
????,20130914,9663.00,9798.00,9364.00,9569.00,3078556,29677995956.00,669,9518.00
????,20130915,9750.00,9916.00,9720.00,9830.00,7454742,73279761521.00,796,9569.00
????,20130916,9720.00,9917.00,9652.00,9819.00,3875988,38016080524.00,488,9830.00
????,20130917,9900.00,10211.00,9900.00,10074.00,5140778,52370260937.00,522,9819.00
????,20130918,10476.00,10476.00,10476.00,10457.00,7090006,74274902856.00,277,10074.00
????,20130921,10875.00,10875.00,10875.00,10712.00,4535775,49326553125.00,179,10457.00
????,20130922,10700.00,10700.00,10284.00,10530.00,25905626,272791459691.00,1932,10712.00
????,20130923,10730.00,10951.00,10699.00,10710.00,3401744,37159392139.00,347,10530.00
????,20130924,11138.00,11138.00,10925.00,11128.00,26605760,296059364857.00,1589,10710.00
????,20130925,11350.00,11573.00,11129.00,11462.00,10627432,121806784694.00,930,11128.00
????,20130928,11920.00,11920.00,11920.00,11542.00,1292188,15402880960.00,70,11462.00
????,20130929,12003.00,12003.00,12003.00,12003.00,9915235,119012565705.00,326,11542.00
????,20130930,12250.00,12483.00,12200.00,12417.00,39028743,484600553742.00,2740,12003.00
????,20131001,12550.00,12913.00,12303.00,12815.00,19946636,255612312953.00,2563,12417.00
????,20131002,13000.00,13298.00,12801.00,13011.00,10346135,134613897610.00,2064,12815.00
????,20131005,12950.00,12990.00,12491.00,12692.00,12224058,155148202325.00,1958,13011.00
????,20131006,12690.00,12690.00,12340.00,12542.00,10387521,130279526321.00,1523,12692.00
????,20131007,12697.00,13043.00,12506.00,12919.00,8754115,113098187210.00,997,12542.00
????,20131008,13435.00,13435.00,13100.00,13434.00,12755637,171363174891.00,905,12919.00
????,20131009,13899.00,13971.00,13751.00,13869.00,6299052,87857347602.00,521,13434.00
????,20131012,14423.00,14423.00,14423.00,13994.00,1682364,24264735972.00,91,13869.00
????,20131013,14553.00,14553.00,14423.00,14551.00,71097309,1034570078820.00,4221,13994.00
????,20131014,14555.00,15133.00,14450.00,14973.00,31201990,467184382833.00,3845,14551.00
????,20131015,15133.00,15571.00,15101.00,15541.00,27617372,429206668155.00,2977,14973.00
????,20131019,16000.00,16157.00,15000.00,15716.00,20579555,323426909961.00,4958,15541.00
????,20131020,15120.00,15400.00,15088.00,15163.00,30570752,463537745965.00,3324,15716.00
????,20131021,0.00,0.00,0.00,15163.00,0,0.00,0,15163.00
????,20131022,0.00,0.00,0.00,15163.00,0,0.00,0,15163.00
????,20131023,0.00,0.00,0.00,15090.00,0,0.00,0,15163.00
????,20131026,15052.00,15080.00,14450.00,14643.00,14977108,219314558544.00,5028,15090.00
????,20131027,14299.00,14500.00,14058.00,14079.00,7342146,103318488595.00,1987,14643.00
????,20131028,13802.00,14190.00,13580.00,13923.00,10600411,147588401639.00,1616,14079.00
????,20131029,14000.00,14479.00,13999.00,14372.00,10019493,143996750461.00,1353,13923.00
????,20131030,14799.00,14946.00,14700.00,14695.00,4425753,66005393605.00,492,14372.00
????,20131102,15282.00,15282.00,14900.00,15249.00,16748746,255399644407.00,2249,14695.00
????,20131103,15577.00,15858.00,15440.00,15822.00,17844198,282327444664.00,1991,15249.00
????,20131104,15351.00,16391.00,15351.00,15930.00,14257244,227116013171.00,1942,15822.00
????,20131105,16005.00,16567.00,16005.00,16467.00,8168779,134511933132.00,1213,15930.00
????,20131106,17124.00,17125.00,17000.00,17116.00,7350299,125862899823.00,545,16467.00
????,20131109,17800.00,17800.00,17250.00,17725.00,29636929,525320489515.00,3498,17116.00
????,20131110,17300.00,17990.00,17062.00,17501.00,10615007,185774820198.00,2187,17725.00
????,20131111,17010.00,17350.00,16811.00,17107.00,7883838,134869201738.00,1769,17501.00
????,20131112,17000.00,17630.00,16810.00,17249.00,6431431,111078165551.00,1715,17107.00
????,20131116,17800.00,17938.00,17601.00,17674.00,4752018,85128047065.00,635,17249.00
????,20131117,18200.00,18379.00,17529.00,18000.00,10083291,181496306086.00,2217,17674.00
????,20131118,17787.00,18400.00,17600.00,18006.00,6614595,119110517354.00,1607,18000.00
????,20131119,17750.00,18190.00,17505.00,17829.00,5011537,88919624321.00,1504,18006.00
????,20131120,17401.00,17800.00,17130.00,17412.00,6501428,112816579490.00,1861,17829.00
????,20131123,17510.00,17888.00,16750.00,17087.00,9802945,167504316293.00,2243,17412.00
????,20131124,17490.00,17545.00,16800.00,17313.00,16823414,291266919781.00,3949,17087.00
????,20131125,17000.00,17400.00,16621.00,16788.00,22494468,377641914491.00,3786,17313.00
????,20131126,16600.00,17350.00,16251.00,16712.00,12410280,207405315743.00,3144,16788.00
????,20131127,16801.00,16899.00,16180.00,16399.00,19776334,324321865643.00,2525,16712.00
????,20131130,16700.00,17054.00,16301.00,16924.00,12080461,204448281683.00,1345,16399.00
????,20131201,17500.00,17599.00,16248.00,17064.00,13052982,222742597204.00,2635,16924.00
????,20131202,16590.00,16800.00,16382.00,16434.00,8097461,133074537947.00,1696,17064.00
????,20131203,16000.00,16598.00,15777.00,16008.00,12445792,199226103169.00,2035,16434.00
????,20131204,16300.00,16400.00,16000.00,16116.00,7393123,119153465240.00,1515,16008.00
????,20131207,16390.00,16760.00,16201.00,16610.00,6076064,101598101234.00,1241,16116.00
????,20131208,16998.00,17274.00,16760.00,17231.00,14661103,252630113479.00,2404,16610.00
????,20131209,17700.00,17746.00,16970.00,17244.00,5667005,97742629686.00,1781,17231.00
????,20131210,16900.00,16920.00,16610.00,16882.00,6611167,111310357676.00,1394,17244.00
????,20131211,16850.00,17000.00,16621.00,16770.00,5350013,89488624764.00,1076,16882.00
????,20131214,16160.00,16650.00,16160.00,16545.00,5273422,86760417713.00,1050,16770.00
????,20131215,16500.00,16949.00,16406.00,16731.00,5724557,96098570845.00,1046,16545.00
????,20131216,16820.00,17200.00,16500.00,16839.00,5630707,95006908974.00,1200,16731.00
????,20131217,16800.00,16800.00,16283.00,16510.00,6864282,113142222715.00,1086,16839.00
????,20131218,16310.00,16600.00,15900.00,16329.00,10836672,176951556935.00,1660,16510.00
????,20131221,15802.00,16150.00,15800.00,16018.00,5697269,90717956545.00,1247,16329.00
????,20131222,15800.00,16499.00,15800.00,16134.00,3034033,49465207796.00,761,16018.00
????,20131224,16759.00,16779.00,16580.00,16605.00,5449484,91423659927.00,382,16134.00
????,20131225,17269.00,17269.00,16700.00,17148.00,15656492,268475727447.00,2012,16605.00
????,20131228,16899.00,16899.00,16511.00,16855.00,4679519,78062511337.00,775,17148.00
????,20131229,16842.00,17074.00,16601.00,16775.00,6470049,108457495889.00,882,16855.00
????,20131230,16550.00,16950.00,16400.00,16749.00,5654299,94657617549.00,1044,16775.00
????,20140101,16770.00,17299.00,16770.00,17190.00,7109300,122352591876.00,1242,16749.00
????,20140104,17249.00,17699.00,17180.00,17423.00,5482552,95976532909.00,1088,17190.00
????,20140105,17595.00,17750.00,17521.00,17607.00,5355232,94673964766.00,1430,17423.00
????,20140106,17701.00,17930.00,17502.00,17672.00,5205041,92131708851.00,1172,17607.00
????,20140107,17480.00,17512.00,17100.00,17464.00,6014101,104734407070.00,775,17672.00
????,20140108,17152.00,17399.00,17005.00,17196.00,5394036,92207929196.00,709,17464.00
????,20140111,17780.00,17780.00,17050.00,17248.00,5172478,89334273910.00,675,17196.00
