<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????,20070204,4000.00,4000.00,3600.00,3704.00,172898994,640374172370.00,2489,4000.00
????,20070205,3778.00,3778.00,3778.00,3778.00,10826496,40902501888.00,1709,3704.00
????,20070206,3853.00,3853.00,3853.00,3853.00,26850133,103453562449.00,4118,3778.00
????,20070207,3930.00,3930.00,3930.00,3930.00,31086849,122171316570.00,4247,3853.00
????,20070210,4008.00,4008.00,4008.00,4008.00,40645528,162907276224.00,4984,3930.00
????,20070212,4088.00,4088.00,4012.00,4012.00,215513,881016384.00,93,4008.00
????,20070213,4092.00,4092.00,4092.00,4092.00,5110524,20912264208.00,1123,4012.00
????,20070214,4173.00,4173.00,4173.00,4173.00,5103628,21297439644.00,1152,4092.00
????,20070217,4256.00,4256.00,4141.00,4235.00,35308907,149512486901.00,7352,4173.00
????,20070218,4240.00,4257.00,4151.00,4227.00,14815582,62631121478.00,2667,4235.00
????,20070219,4143.00,4216.00,4143.00,4216.00,564225,2337584905.00,160,4227.00
????,20070220,4132.00,4191.00,4132.00,4191.00,1354521,5596881362.00,335,4216.00
????,20070313,4189.00,4197.00,4040.00,4111.00,1930522,7936965855.00,473,4191.00
????,20070314,4088.00,4120.00,1852.00,4093.00,1160513315,2155002873707.00,606,4111.00
????,20070317,4159.00,4165.00,4072.00,4100.00,3663321,15089656174.00,506,4093.00
????,20070319,4112.00,4182.00,4112.00,4120.00,1436849,6002665724.00,262,4100.00
????,20070325,4202.00,4202.00,4149.00,4149.00,1629327,6845517612.00,415,4120.00
????,20070326,4231.00,4231.00,4149.00,4149.00,27899,118039849.00,14,4149.00
????,20070327,4231.00,4231.00,4149.00,4149.00,26534,112264534.00,21,4149.00
????,20070328,4231.00,4231.00,4151.00,4151.00,131210,555148710.00,52,4149.00
????,20070331,4234.00,4234.00,4156.00,4156.00,294199,1245637786.00,113,4151.00
????,20070403,4239.00,4239.00,4158.00,4158.00,117711,498976119.00,57,4156.00
????,20070404,4241.00,4241.00,4163.00,4163.00,260851,1106268311.00,116,4158.00
????,20070407,4246.00,4246.00,4169.00,4169.00,326721,1387256596.00,172,4163.00
????,20070408,4252.00,4252.00,4177.00,4177.00,437546,1860444842.00,212,4169.00
????,20070409,4260.00,4260.00,4183.00,4183.00,320534,1365474070.00,150,4177.00
????,20070410,4266.00,4266.00,4188.00,4188.00,285858,1219469448.00,173,4183.00
????,20070411,4271.00,4271.00,4192.00,4192.00,215785,921616945.00,159,4188.00
????,20070414,4275.00,4275.00,4197.00,4197.00,259123,1107750045.00,151,4192.00
????,20070415,4280.00,4280.00,4200.00,4200.00,150035,642149000.00,87,4197.00
????,20070416,4284.00,4284.00,4202.00,4202.00,102697,439953128.00,83,4200.00
????,20070417,4286.00,4286.00,4204.00,4204.00,120510,516505040.00,113,4202.00
????,20070418,4288.00,4288.00,4211.00,4211.00,393010,1685226110.00,289,4204.00
????,20070421,4295.00,4295.00,4217.00,4217.00,344480,1479540820.00,264,4211.00
????,20070422,4301.00,4301.00,4223.00,4223.00,341887,1470455207.00,320,4217.00
