<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20070311,1900.00,1938.00,1900.00,1900.00,468077431,889437216900.00,7736,1900.00
?????,20070312,1938.00,1938.00,1938.00,1938.00,100041000,193879458000.00,9214,1900.00
?????,20070313,1976.00,1976.00,1915.00,1973.00,126270939,249241504527.00,5862,1938.00
?????,20070314,1934.00,1966.00,1934.00,1934.00,26705128,51666379451.00,1901,1973.00
?????,20070317,1896.00,1927.00,1896.00,1898.00,14877283,28239006789.00,1514,1934.00
?????,20070319,1872.00,1909.00,1861.00,1885.00,12428574,23432044982.00,1402,1898.00
?????,20070325,1881.00,1922.00,1880.00,1894.00,4151051,7938296594.00,480,1885.00
?????,20070326,1927.00,1931.00,1898.00,1900.00,2604320,5010080922.00,397,1894.00
?????,20070327,1909.00,1935.00,1902.00,1904.00,1737471,3349931251.00,231,1900.00
?????,20070328,1925.00,1930.00,1906.00,1906.00,1466522,2819018765.00,221,1904.00
?????,20070331,1904.00,1920.00,1873.00,1905.00,818231,1544256723.00,209,1906.00
?????,20070403,1900.00,1900.00,1867.00,1900.00,2705358,5089821352.00,313,1905.00
?????,20070404,1887.00,1896.00,1862.00,1896.00,1649990,3083948625.00,220,1900.00
?????,20070407,1886.00,1888.00,1859.00,1881.00,5050280,9390429030.00,473,1896.00
?????,20070408,1854.00,1900.00,1849.00,1879.00,3002511,5626657331.00,433,1881.00
?????,20070409,1889.00,1913.00,1874.00,1879.00,692951,1307934968.00,165,1879.00
?????,20070410,1907.00,1917.00,1862.00,1883.00,1315311,2477218529.00,310,1879.00
?????,20070411,1876.00,1880.00,1851.00,1880.00,1767488,3292833272.00,413,1883.00
?????,20070414,1864.00,1875.00,1843.00,1875.00,1975101,3648614835.00,463,1880.00
?????,20070415,1848.00,1867.00,1838.00,1867.00,2879638,5293662864.00,600,1875.00
