<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20130820,42000.00,42200.00,42000.00,42001.00,546520,22954618260.00,69,1000.00
?????,20130821,42009.00,43500.00,42005.00,42142.00,161499,6929038912.00,214,42001.00
?????,20130824,43300.00,43300.00,42222.00,42191.00,110913,4724576175.00,168,42142.00
?????,20130825,42860.00,42860.00,42453.00,42213.00,67490,2869908079.00,94,42191.00
?????,20130826,42401.00,42501.00,42036.00,42214.00,160307,6768045157.00,121,42213.00
?????,20130827,42000.00,42000.00,40900.00,41939.00,303026,12507666775.00,183,42214.00
?????,20130828,40262.00,40400.00,40262.00,41764.00,107648,4334256391.00,166,41939.00
?????,20130831,40200.00,40500.00,40094.00,41646.00,75569,3034038845.00,149,41764.00
?????,20130901,40000.00,40749.00,40000.00,41586.00,55535,2250626790.00,121,41646.00
?????,20130903,40080.00,40249.00,40002.00,41488.00,64712,2590271514.00,106,41586.00
?????,20130904,40200.00,40200.00,39829.00,41197.00,181559,7231944731.00,113,41488.00
?????,20130907,39550.00,39700.00,39550.00,41102.00,59830,2366350346.00,103,41197.00
?????,20130908,39990.00,40700.00,39501.00,41077.00,20697,825031458.00,52,41102.00
?????,20130909,40023.00,40900.00,40023.00,41061.00,27970,1132687372.00,56,41077.00
?????,20130910,41000.00,42703.00,41000.00,41358.00,193561,8254635075.00,128,41061.00
?????,20130911,43012.00,43012.00,41600.00,41414.00,43630,1861849075.00,88,41358.00
?????,20130914,41987.00,42499.00,40255.00,41413.00,17872,739193245.00,33,41414.00
?????,20130915,41900.00,41900.00,41130.00,41420.00,57376,2383676553.00,79,41413.00
?????,20130916,41000.00,41248.00,40501.00,41402.00,34257,1400030693.00,92,41420.00
?????,20130917,41401.00,41740.00,40500.00,41384.00,46085,1889793123.00,109,41402.00
?????,20130918,40630.00,43000.00,40630.00,41493.00,125280,5297502592.00,140,41384.00
?????,20130921,42450.00,42690.00,41500.00,41546.00,111044,4661962500.00,117,41493.00
?????,20130922,42800.00,42800.00,41800.00,41805.00,604914,25398865343.00,109,41546.00
?????,20130923,42087.00,42888.00,42070.00,41879.00,95947,4087930190.00,135,41805.00
?????,20130924,42300.00,42500.00,42200.00,41896.00,44376,1876277244.00,90,41879.00
?????,20130925,42749.00,42749.00,42002.00,41927.00,79141,3347339339.00,60,41896.00
?????,20130928,42020.00,42400.00,41700.00,41869.00,396445,16562373908.00,182,41927.00
?????,20130929,42478.00,42478.00,41300.00,41723.00,878804,36643725548.00,227,41869.00
?????,20130930,41400.00,41928.00,41400.00,41699.00,397034,16540434399.00,100,41723.00
?????,20131001,41630.00,41689.00,41001.00,41627.00,270124,11189915389.00,157,41699.00
?????,20131002,41930.00,41930.00,41061.00,41573.00,136150,5612033366.00,125,41627.00
?????,20131005,41500.00,41700.00,41100.00,41547.00,166692,6902538070.00,118,41573.00
?????,20131006,41501.00,42000.00,41200.00,41559.00,79086,3298366457.00,86,41547.00
?????,20131007,41411.00,41800.00,41200.00,41583.00,311489,12969890984.00,100,41559.00
?????,20131008,42001.00,43000.00,40838.00,41548.00,469881,19503408497.00,239,41583.00
?????,20131009,41300.00,41788.00,41300.00,41551.00,265902,11051270814.00,135,41548.00
?????,20131012,41800.00,42000.00,41300.00,41557.00,97897,4073479259.00,109,41551.00
?????,20131013,41899.00,41899.00,41501.00,41604.00,650664,27088490451.00,174,41557.00
?????,20131014,41800.00,41801.00,41650.00,41619.00,163158,6803487574.00,117,41604.00
?????,20131015,41664.00,41900.00,41622.00,41626.00,114540,4774260383.00,122,41619.00
?????,20131019,42000.00,42200.00,41900.00,41679.00,135248,5684668462.00,186,41626.00
?????,20131020,42000.00,42350.00,42000.00,41711.00,81117,3414356329.00,160,41679.00
?????,20131021,42400.00,43379.00,42045.00,42353.00,559914,24017049396.00,223,41711.00
?????,20131022,44047.00,44047.00,44040.00,43853.00,914401,40276620798.00,136,42353.00
?????,20131023,44400.00,45580.00,44000.00,44150.00,317475,14228855359.00,254,43853.00
?????,20131026,44700.00,45916.00,44700.00,45897.00,1156703,53088652843.00,202,44150.00
?????,20131027,46400.00,46400.00,45000.00,45797.00,154187,6973439309.00,157,45897.00
?????,20131028,45180.00,46100.00,44500.00,45762.00,156310,7122674672.00,159,45797.00
?????,20131029,45100.00,45699.00,45100.00,45727.00,109405,4970368713.00,84,45762.00
?????,20131030,47490.00,47556.00,46221.00,46575.00,535934,25382505164.00,262,45727.00
?????,20131102,47500.00,47500.00,46503.00,46738.00,407224,19135194480.00,120,46575.00
?????,20131103,46800.00,47249.00,46800.00,46776.00,140941,6626717659.00,107,46738.00
?????,20131104,47000.00,48300.00,46400.00,47045.00,458074,21704619529.00,216,46776.00
?????,20131105,48000.00,48000.00,47121.00,47075.00,96855,4587971409.00,77,47045.00
?????,20131106,47100.00,48289.00,47090.00,47227.00,247417,11804021515.00,122,47075.00
?????,20131109,48500.00,49116.00,48500.00,49097.00,2752218,135126447150.00,282,47227.00
?????,20131110,49003.00,49480.00,48399.00,49077.00,192073,9409562072.00,113,49097.00
?????,20131111,48900.00,48900.00,48500.00,48990.00,158941,7710126472.00,112,49077.00
?????,20131112,48000.00,48187.00,47301.00,48679.00,325337,15617427876.00,147,48990.00
?????,20131116,48500.00,49000.00,48015.00,48692.00,131529,6415994305.00,114,48679.00
?????,20131117,47501.00,48001.00,47501.00,48641.00,47964,2282678784.00,78,48692.00
?????,20131118,47400.00,48600.00,47400.00,48619.00,70969,3429012128.00,61,48641.00
?????,20131119,47500.00,48500.00,47500.00,48488.00,297500,14329122646.00,134,48619.00
?????,20131120,47502.00,48700.00,47502.00,48483.00,219688,10647497883.00,99,48488.00
?????,20131123,47750.00,49550.00,47749.00,48939.00,567155,27968145209.00,150,48483.00
?????,20131124,50430.00,50896.00,49150.00,50254.00,717316,36462176291.00,161,48939.00
?????,20131125,52264.00,52264.00,51800.00,52219.00,1325674,69225032282.00,251,50254.00
?????,20131126,51900.00,54307.00,51199.00,53097.00,576727,31022455850.00,227,52219.00
?????,20131127,53260.00,55220.00,53260.00,54213.00,771348,42108083711.00,235,53097.00
?????,20131130,55220.00,56300.00,55063.00,55084.00,536172,29967200138.00,188,54213.00
?????,20131201,56380.00,57000.00,55000.00,55175.00,191068,10618921588.00,195,55084.00
?????,20131202,54000.00,56000.00,54000.00,55582.00,1396766,77635627725.00,194,55175.00
?????,20131203,56450.00,56450.00,54001.00,55460.00,234174,12890183267.00,168,55582.00
?????,20131204,55000.00,55000.00,53700.00,55063.00,312630,16928847519.00,116,55460.00
?????,20131207,54700.00,54700.00,53520.00,54971.00,73669,3961657251.00,109,55063.00
?????,20131208,53110.00,55300.00,53110.00,54912.00,100050,5439427418.00,149,54971.00
?????,20131209,55000.00,55000.00,54101.00,54891.00,58983,3217204312.00,112,54912.00
?????,20131210,54005.00,55100.00,54005.00,54895.00,150900,8287575638.00,121,54891.00
?????,20131211,54602.00,56450.00,54602.00,55164.00,400448,22260617083.00,204,54895.00
?????,20131214,54600.00,55480.00,53500.00,55118.00,136880,7503303542.00,114,55164.00
?????,20131215,55390.00,56200.00,55380.00,55351.00,304675,17034122309.00,173,55118.00
?????,20131216,56000.00,56299.00,55500.00,55736.00,634721,35529608138.00,175,55351.00
?????,20131217,56000.00,56000.00,54920.00,55577.00,280000,15442108872.00,119,55736.00
?????,20131218,55980.00,55980.00,54900.00,55563.00,33276,1834502800.00,93,55577.00
?????,20131221,55000.00,55500.00,55000.00,55513.00,101385,5582018003.00,157,55563.00
?????,20131222,54999.00,55396.00,54350.00,55484.00,48065,2638533676.00,59,55513.00
?????,20131224,55500.00,55650.00,54900.00,55408.00,285667,15771978672.00,105,55484.00
?????,20131225,55300.00,55500.00,54900.00,55270.00,371232,20427195561.00,136,55408.00
?????,20131228,55500.00,55798.00,54505.00,55249.00,74965,4121949248.00,91,55270.00
?????,20131229,54901.00,55445.00,54901.00,55235.00,458932,25341233045.00,259,55249.00
?????,20131230,54505.00,55450.00,54502.00,55210.00,157478,8672354578.00,118,55235.00
