<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20010506,3213.00,3500.00,3100.00,3260.00,55879,181379751.00,77,3213.00
?????,20010507,3260.00,3262.00,3230.00,3260.00,99962,325663118.00,80,3260.00
?????,20010508,3270.00,3351.00,3269.00,3281.00,241949,797914981.00,87,3260.00
?????,20010509,3350.00,3445.00,3281.00,3281.00,415588,1392841852.00,185,3281.00
?????,20010512,3340.00,3439.00,3303.00,3439.00,23538,79685410.00,26,3281.00
?????,20010513,3457.00,3499.00,3447.00,3450.00,127297,441025763.00,112,3439.00
?????,20010515,3490.00,3500.00,3450.00,3450.00,102172,355398008.00,89,3450.00
?????,20010516,3450.00,3500.00,3449.00,3449.00,62860,217613221.00,48,3450.00
?????,20010519,3451.00,3452.00,3440.00,3440.00,26226,90483021.00,24,3449.00
?????,20010520,3440.00,3440.00,3350.00,3350.00,26034,89218325.00,28,3440.00
?????,20010521,3380.00,3400.00,3380.00,3380.00,34546,117339780.00,25,3350.00
?????,20010523,3399.00,3399.00,3376.00,3398.00,16305,55159260.00,28,3380.00
?????,20010526,3398.00,3500.00,3398.00,3485.00,16990,58733327.00,18,3398.00
?????,20010527,3464.00,3465.00,3390.00,3400.00,27728,94707263.00,32,3485.00
?????,20010528,3398.00,3400.00,3387.00,3387.00,35706,121141724.00,39,3400.00
?????,20010529,3390.00,3390.00,3350.00,3386.00,5596,18934395.00,12,3387.00
?????,20010530,3383.00,3400.00,3350.00,3397.00,33550,113594525.00,35,3386.00
?????,20010602,3396.00,3396.00,3395.00,3395.00,15079,51202040.00,17,3397.00
?????,20010603,3359.00,3395.00,3328.00,3395.00,45834,154024550.00,35,3395.00
?????,20010606,3393.00,3393.00,3349.00,3350.00,9593,32235913.00,14,3395.00
?????,20010609,3350.00,3350.00,3320.00,3346.00,4332,14439487.00,8,3350.00
?????,20010611,3345.00,3370.00,3345.00,3370.00,27198,91127132.00,29,3346.00
?????,20010612,3350.00,3370.00,3350.00,3370.00,16469,55268630.00,27,3370.00
?????,20010613,3350.00,3351.00,3301.00,3351.00,18069,60502419.00,13,3370.00
?????,20010616,3348.00,3350.00,3305.00,3348.00,8865,29636159.00,19,3351.00
?????,20010617,3300.00,3330.00,3280.00,3330.00,75439,247791246.00,22,3348.00
?????,20010618,3330.00,3330.00,3298.00,3298.00,10467,34758552.00,11,3330.00
?????,20010619,3290.00,3327.00,3250.00,3327.00,39421,129168395.00,31,3298.00
?????,20010620,3298.00,3300.00,3200.00,3300.00,38538,124607629.00,24,3327.00
?????,20010623,3300.00,3304.00,3300.00,3300.00,16285,53747179.00,22,3300.00
