<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20010325,2798.00,2802.00,2798.00,2800.00,110870,310368080.00,115,2798.00
?????,20010326,2801.00,2810.00,2797.00,2798.00,96613,270595190.00,98,2800.00
?????,20010327,2795.00,2800.00,2795.00,2795.00,166600,466405131.00,120,2798.00
?????,20010328,2800.00,2849.00,2796.00,2849.00,80676,227566666.00,104,2795.00
?????,20010331,2840.00,2848.00,2800.00,2838.00,177362,500068371.00,161,2849.00
?????,20010403,2840.00,2870.00,2838.00,2868.00,55562,158053247.00,86,2838.00
?????,20010407,2868.00,2930.00,2868.00,2900.00,122642,355157582.00,144,2868.00
?????,20010408,2920.00,3020.00,2903.00,3004.00,299359,890538835.00,270,2900.00
?????,20010409,3028.00,3140.00,3020.00,3102.00,434320,1349633103.00,378,3004.00
?????,20010410,3155.00,3157.00,3069.00,3080.00,592395,1839935140.00,467,3102.00
?????,20010411,3082.00,3100.00,3071.00,3080.00,604953,1865310571.00,458,3080.00
?????,20010414,3084.00,3110.00,3080.00,3092.00,434057,1343731773.00,398,3080.00
?????,20010415,3093.00,3095.00,3050.00,3059.00,229777,707240663.00,261,3092.00
?????,20010416,3058.00,3068.00,3029.00,3068.00,268061,816117110.00,325,3059.00
?????,20010417,3068.00,3100.00,3065.00,3077.00,386136,1187554196.00,311,3068.00
?????,20010418,3079.00,3100.00,3072.00,3079.00,534555,1650557427.00,387,3077.00
?????,20010421,3079.00,3101.00,3078.00,3087.00,2129585,6598014831.00,331,3079.00
?????,20010422,3091.00,3100.00,3050.00,3084.00,1014348,3112179770.00,383,3087.00
?????,20010423,3086.00,3098.00,3085.00,3090.00,495008,1529794816.00,410,3084.00
?????,20010424,3089.00,3130.00,3089.00,3130.00,705864,2196484253.00,419,3090.00
?????,20010425,3202.00,3286.00,3130.00,3286.00,94443,307808716.00,107,3130.00
?????,20010428,3450.00,3450.00,3360.00,3450.00,962280,3313926256.00,611,3286.00
?????,20010429,3450.00,3610.00,3440.00,3520.00,651640,2295314354.00,430,3450.00
?????,20010430,3550.00,3590.00,3520.00,3531.00,515842,1834287435.00,424,3520.00
?????,20010501,3549.00,3559.00,3502.00,3536.00,415255,1473195131.00,390,3531.00
?????,20010502,3530.00,3530.00,3420.00,3420.00,307281,1067293261.00,347,3536.00
?????,20010505,3411.00,3420.00,3370.00,3408.00,470082,1599525490.00,419,3420.00
?????,20010506,3430.00,3470.00,3410.00,3455.00,670450,2311560861.00,405,3408.00
?????,20010507,3455.00,3590.00,3455.00,3590.00,525826,1842285659.00,359,3455.00
?????,20010508,3590.00,3649.00,3505.00,3598.00,642528,2293543983.00,357,3590.00
