<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????,20010410,4856.00,4856.00,4856.00,4856.00,535,2597960.00,1,4856.00
????,20010411,4856.00,4856.00,4856.00,4856.00,600,2913600.00,1,4856.00
????,20010415,4856.00,4856.00,4620.00,4620.00,587,2714772.00,3,4856.00
????,20010422,4851.00,4851.00,4851.00,4851.00,1000,4851000.00,1,4620.00
????,20010423,5050.00,5093.00,5050.00,5093.00,10448,53125664.00,6,4851.00
????,20010424,5347.00,5347.00,5347.00,5347.00,2100,11228700.00,1,5093.00
????,20010425,5347.00,5347.00,5347.00,5347.00,3900,20853300.00,3,5347.00
????,20010507,5347.00,5347.00,5347.00,5347.00,150,802050.00,1,5347.00
????,20010508,5349.00,5349.00,5347.00,5347.00,11871,63494979.00,3,5347.00
????,20010509,5500.00,5500.00,5500.00,5500.00,1480,8140000.00,2,5347.00
????,20010519,5503.00,5503.00,5503.00,5503.00,494,2718482.00,1,5500.00
????,20010523,5550.00,5550.00,5550.00,5550.00,596,3307800.00,1,5503.00
????,20010526,5545.00,5550.00,5545.00,5550.00,1542,8556525.00,2,5550.00
????,20010528,5559.00,5559.00,5559.00,5559.00,268,1489812.00,1,5550.00
????,20010529,5602.00,5602.00,5602.00,5602.00,174,974748.00,1,5559.00
????,20010603,5612.00,5612.00,5612.00,5612.00,255,1431060.00,1,5602.00
????,20010606,5622.00,5660.00,5612.00,5660.00,260000,1459543130.00,108,5612.00
????,20010611,5800.00,5910.00,5800.00,5910.00,2047,11985091.00,5,5660.00
????,20010612,5950.00,5950.00,5950.00,5950.00,5453,32445350.00,3,5910.00
????,20010613,5950.00,5950.00,5950.00,5950.00,11368,67639600.00,15,5950.00
????,20010616,5950.00,5950.00,5950.00,5950.00,9330,55513500.00,11,5950.00
????,20010617,5950.00,5950.00,5950.00,5950.00,10000,59500000.00,3,5950.00
????,20010618,5951.00,5953.00,5951.00,5953.00,5000,29761000.00,4,5950.00
????,20010624,6000.00,6100.00,6000.00,6100.00,2000,12100000.00,4,5953.00
????,20010625,6099.00,6100.00,6099.00,6100.00,5700,34768300.00,3,6100.00
????,20010626,6103.00,6103.00,6103.00,6103.00,156,952068.00,1,6100.00
????,20010627,6109.00,6109.00,6109.00,6109.00,4000,24436000.00,2,6103.00
????,20010630,6231.00,6231.00,6119.00,6119.00,33650,206038750.00,6,6109.00
????,20010710,6158.00,6158.00,6158.00,6158.00,97,597326.00,1,6119.00
