<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20010325,3690.00,3690.00,3690.00,3690.00,1694,6250860.00,3,0.00
?????,20010326,3702.00,3850.00,3697.00,3850.00,30704,115821294.00,20,3690.00
?????,20010327,3850.00,3930.00,3850.00,3903.00,32147,125354929.00,23,3850.00
?????,20010328,3903.00,3903.00,3900.00,3900.00,2386,9306450.00,4,3903.00
?????,20010331,3894.00,3910.00,3893.00,3894.00,7657,29899663.00,13,3900.00
?????,20010403,3894.00,3900.00,3894.00,3900.00,14721,57385944.00,9,3894.00
?????,20010408,3880.00,3896.00,3865.00,3869.00,5622,21789968.00,13,3900.00
?????,20010409,3780.00,3800.00,3707.00,3787.00,43477,164652556.00,36,3869.00
?????,20010410,3750.00,3750.00,3650.00,3677.00,33896,125523389.00,60,3787.00
?????,20010411,3677.00,3730.00,3677.00,3720.00,59216,220241178.00,46,3677.00
?????,20010414,3711.00,3870.00,3700.00,3870.00,66200,250419086.00,52,3720.00
?????,20010415,3870.00,3871.00,3870.00,3870.00,9355,36209820.00,15,3870.00
?????,20010416,3850.00,3970.00,3850.00,3970.00,41982,162613107.00,38,3870.00
?????,20010417,4000.00,4100.00,3975.00,4100.00,8813,35467170.00,15,3970.00
?????,20010418,4180.00,4300.00,4121.00,4300.00,44574,187572566.00,37,4100.00
?????,20010421,4300.00,4399.00,4300.00,4310.00,54385,234657113.00,66,4300.00
?????,20010422,4310.00,4310.00,4095.00,4189.00,93038,393859903.00,68,4310.00
?????,20010423,4189.00,4200.00,4189.00,4190.00,41105,172227785.00,45,4189.00
?????,20010424,4189.00,4300.00,4189.00,4190.00,83307,351097112.00,61,4190.00
?????,20010425,4190.00,4350.00,4190.00,4320.00,161126,684779473.00,81,4190.00
?????,20010428,4320.00,4400.00,4303.00,4350.00,104784,453466493.00,59,4320.00
?????,20010429,4379.00,4401.00,4350.00,4401.00,26723,117141317.00,28,4350.00
?????,20010430,4401.00,4406.00,4398.00,4403.00,37759,166260111.00,47,4401.00
?????,20010501,4404.00,4501.00,4404.00,4500.00,28538,128393546.00,21,4403.00
?????,20010502,4500.00,4503.00,4499.00,4503.00,47897,215555630.00,60,4500.00
?????,20010505,4503.00,4503.00,4450.00,4500.00,49882,224492675.00,52,4503.00
?????,20010506,4489.00,4501.00,4420.00,4501.00,39712,178377487.00,88,4500.00
?????,20010507,4502.00,4520.00,4502.00,4520.00,21082,95039757.00,38,4501.00
?????,20010508,4530.00,4580.00,4521.00,4580.00,20777,94534282.00,14,4520.00
?????,20010509,4500.00,4620.00,4500.00,4620.00,28449,130773194.00,49,4580.00
?????,20010512,4620.00,4620.00,4508.00,4600.00,12752,57821289.00,22,4620.00
?????,20010513,4600.00,4640.00,4600.00,4605.00,44801,206369341.00,49,4600.00
?????,20010515,4605.00,4655.00,4605.00,4655.00,26416,122276967.00,26,4605.00
?????,20010516,4656.00,4700.00,4656.00,4666.00,77149,361543408.00,31,4655.00
?????,20010519,4690.00,4726.00,4690.00,4726.00,10033,47224427.00,33,4666.00
?????,20010520,4753.00,4844.00,4750.00,4844.00,17190,81945775.00,27,4726.00
?????,20010521,4851.00,4965.00,4849.00,4965.00,14417,70894954.00,18,4844.00
?????,20010523,4974.00,5080.00,4973.00,5080.00,10648,53632591.00,31,4965.00
?????,20010526,5080.00,5207.00,5080.00,5207.00,15060,77419560.00,25,5080.00
?????,20010527,5337.00,5337.00,5337.00,5337.00,15733,83967021.00,36,5207.00
?????,20010528,5390.00,5390.00,5390.00,5390.00,8516,45901240.00,14,5337.00
?????,20010529,5443.00,5443.00,5443.00,5443.00,11084,60330212.00,15,5390.00
?????,20010530,5497.00,5497.00,5497.00,5497.00,13121,72126137.00,20,5443.00
?????,20010602,5551.00,5551.00,5497.00,5497.00,37780,209317360.00,45,5497.00
?????,20010603,5443.00,5443.00,5443.00,5443.00,13299,72386457.00,19,5497.00
?????,20010606,5389.00,5443.00,5389.00,5443.00,60021,323735191.00,82,5443.00
?????,20010609,5424.00,5443.00,5424.00,5443.00,54386,295582729.00,73,5443.00
?????,20010611,5444.00,5497.00,5390.00,5497.00,48212,262374192.00,49,5443.00
?????,20010612,5497.00,5498.00,5445.00,5490.00,21414,117173329.00,41,5497.00
?????,20010613,5437.00,5452.00,5436.00,5452.00,36093,196453024.00,55,5490.00
?????,20010616,5451.00,5451.00,5400.00,5400.00,7117,38550657.00,27,5452.00
?????,20010617,5350.00,5402.00,5346.00,5400.00,47435,254845722.00,83,5400.00
?????,20010618,5350.00,5400.00,5346.00,5400.00,74106,398272228.00,76,5400.00
?????,20010619,5395.00,5400.00,5350.00,5400.00,63271,340679759.00,77,5400.00
?????,20010620,5390.00,5401.00,5350.00,5401.00,45851,246980356.00,53,5400.00
?????,20010623,5355.00,5401.00,5350.00,5400.00,33924,182661294.00,40,5401.00
?????,20010624,5355.00,5400.00,5349.00,5400.00,21665,116282814.00,34,5400.00
?????,20010625,5400.00,5400.00,5360.00,5400.00,33101,178707532.00,25,5400.00
?????,20010626,5400.00,5400.00,5398.00,5400.00,22778,122993470.00,42,5400.00
?????,20010627,5396.00,5402.00,5396.00,5400.00,36672,197972097.00,48,5400.00
?????,20010630,5351.00,5400.00,5350.00,5400.00,31599,170537070.00,34,5400.00
?????,20010701,5400.00,5450.00,5394.00,5450.00,81270,440893397.00,54,5400.00
?????,20010702,5397.00,5450.00,5397.00,5450.00,30529,166091693.00,35,5450.00
?????,20010703,5450.00,5451.00,5400.00,5451.00,14526,78950958.00,24,5450.00
?????,20010704,5504.00,5505.00,5451.00,5505.00,24890,136680419.00,28,5451.00
?????,20010707,5560.00,5560.00,5560.00,5560.00,29076,161662560.00,20,5505.00
