<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
??????,20130514,0.00,0.00,0.00,1000.00,0,0.00,0,0.00
??????,20130515,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130518,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130519,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130520,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130521,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130522,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130525,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130526,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130527,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130528,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130529,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130601,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130602,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130603,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130608,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130609,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130610,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130611,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130612,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130615,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130616,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130617,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130618,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130619,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130622,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130623,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130625,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130626,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130629,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130630,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130701,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130702,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130703,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130706,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130707,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130708,0.00,0.00,0.00,1000.00,0,0.00,0,1000.00
??????,20130709,3500.00,3500.00,3500.00,3500.00,1450000000,5075000000000.00,8033,1000.00
??????,20130710,3640.00,3640.00,3640.00,3640.00,9100279,33125015560.00,329,3500.00
??????,20130713,3785.00,3785.00,3620.00,3716.00,286615698,1065175161707.00,21661,3640.00
??????,20130714,3680.00,3687.00,3573.00,3616.00,79697159,288222076955.00,8630,3716.00
??????,20130715,3660.00,3758.00,3650.00,3706.00,59148749,219182809445.00,6516,3616.00
??????,20130716,3710.00,3741.00,3622.00,3662.00,46474422,170167303685.00,4607,3706.00
??????,20130717,3650.00,3710.00,3620.00,3665.00,46471305,170310083872.00,4674,3662.00
??????,20130720,3680.00,3811.00,3669.00,3784.00,94687661,358288096282.00,8775,3665.00
??????,20130721,3874.00,3889.00,3725.00,3782.00,38119378,144152152209.00,4525,3784.00
??????,20130722,3760.00,3798.00,3699.00,3733.00,38434453,143480960926.00,4087,3782.00
??????,20130723,3738.00,3848.00,3724.00,3784.00,44516973,168442300222.00,4869,3733.00
??????,20130724,3809.00,3814.00,3753.00,3783.00,37605892,142274196981.00,4173,3784.00
??????,20130727,3799.00,3809.00,3731.00,3757.00,26959353,101277723905.00,3155,3783.00
??????,20130728,3732.00,3776.00,3705.00,3746.00,17945121,67226098575.00,2209,3757.00
??????,20130729,3740.00,3774.00,3692.00,3726.00,45326738,168898093442.00,4568,3746.00
