<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????_??6,20081206,9248.80,9248.80,9167.80,9178.30,8539624,18557689733.00,1095,5136390.27
????_??6,20081207,9178.30,9178.30,9130.30,9130.50,11752353,20519114974.00,1666,5097192.38
????_??6,20081208,9102.70,9103.40,9079.60,9089.20,15299115,60071242548.00,1873,5070657.16
????_??6,20081210,9071.60,9071.60,9023.70,9023.70,15689653,32587689271.00,1737,5047698.22
????_??6,20081213,8973.30,8973.00,8973.00,8973.30,31428174,65622897471.00,3108,0.00
????_??6,20081214,8963.90,8964.50,8907.00,8907.00,33424537,63777428978.00,2969,4996803.82
????_??6,20081215,8901.80,8903.60,8890.70,8890.70,15030721,29914269170.00,2007,4959891.62
????_??6,20081216,8890.80,8890.80,8866.30,8869.00,15206608,31287510838.00,2053,4950855.44
????_??6,20081220,8861.50,8861.90,8854.20,8857.10,9680384,24501932703.00,1645,4938774.79
????_??6,20081221,8857.30,8860.80,8851.60,8851.60,23942447,52191445889.00,1822,4932119.30
????_??6,20081222,8840.10,8840.60,8832.20,8832.20,18510368,34656526959.00,2600,4929042.26
????_??6,20081223,8829.00,8829.50,8803.40,8803.40,16750639,23422852530.00,2689,4917772.07
????_??6,20081224,8796.40,8802.30,8792.50,8795.70,15493315,33510695907.00,2737,4901740.12
????_??6,20081227,8784.90,8795.60,8784.90,8786.70,36809581,68956694504.00,3449,4897322.00
????_??6,20081228,8769.70,8769.70,8757.80,8757.80,22322193,52014635966.00,3375,4892335.66
????_??6,20081229,8750.10,8751.90,8726.20,8726.90,37152907,83043189112.00,4593,4875232.95
????_??6,20081230,8717.20,8717.20,8689.80,8695.00,29866547,57777589514.00,2908,4858065.93
????_??6,20081231,8694.20,8694.20,8654.20,8656.30,15827037,40634873923.00,2687,4840268.30
????_??6,20090103,8655.70,8656.50,8636.80,8641.80,15850479,46875998160.00,3083,4818709.19
????_??6,20090104,8627.20,8629.40,8618.70,8619.60,9364342,21524891466.00,2126,4810628.62
????_??6,20090105,8612.30,8615.50,8596.40,8596.40,34895535,81424423487.00,3492,4797516.73
????_??6,20090110,8592.70,8592.90,8575.70,8575.70,17954374,49703739074.00,5209,4784526.56
????_??6,20090111,8573.60,8573.60,8541.70,8542.00,17591612,40250899907.00,3883,4772991.37
????_??6,20090112,8535.80,8535.80,8518.40,8519.00,38577406,97278419610.00,8364,4754196.16
????_??6,20090113,8518.70,8521.00,8461.30,8463.70,21786228,58669143995.00,3991,4741403.11
????_??6,20090114,8470.90,8471.10,8452.90,8456.90,27901910,67710777068.00,5387,4715927.67
????_??6,20090117,8454.60,8458.20,8449.60,8458.10,41437444,97760139624.00,3668,4697767.43
????_??6,20090118,8449.00,8461.80,8449.00,8459.90,41438920,95334641443.00,3081,4702527.63
????_??6,20090119,8450.60,8471.00,8450.60,8467.40,50872473,112117384140.00,7192,4688704.02
????_??6,20090120,8468.60,8521.00,8468.60,8496.90,18145974,49312961779.00,8364,4689668.45
????_??6,20090121,8494.90,8520.30,8494.90,8514.30,18216417,47075179694.00,5535,4708281.13
????_??6,20090124,8514.50,8564.10,8514.50,8553.70,104929276,323719284149.00,13555,4717920.97
????_??6,20090125,8547.10,8549.60,8518.10,8519.10,30934413,95799986059.00,8224,4739592.95
????_??6,20090126,8517.00,8517.40,8505.70,8507.30,24238918,53286462294.00,5089,4720436.84
????_??6,20090127,8505.50,8510.30,8504.70,8509.10,30858309,51983391469.00,4851,4713903.13
????_??6,20090128,8516.00,8516.20,8496.10,8505.60,24122310,53072557118.00,3950,4714837.25
????_??6,20090131,8506.80,8509.00,8502.10,8508.30,19555340,40417713480.00,3556,4712644.34
????_??6,20090201,8511.40,8518.00,8486.70,8491.80,45910132,93896307796.00,4502,4714311.92
????_??6,20090202,8502.30,8502.50,8493.20,8496.20,23994605,59204899704.00,4445,4704488.38
????_??6,20090203,8496.50,8496.90,8481.10,8483.40,19609854,46468046261.00,5492,4706935.69
????_??6,20090204,8483.80,8484.90,8462.30,8466.40,30228102,51678642907.00,4511,4698388.00
????_??6,20090207,8466.40,8467.70,8444.20,8451.30,24161523,46354852689.00,5509,4688417.82
????_??6,20090208,8452.80,8452.80,8437.70,8438.00,25955001,48510613685.00,5243,4680469.69
????_??6,20090209,8439.50,8439.50,8423.50,8423.70,20913900,40750318655.00,5713,4673203.55
????_??6,20090211,8423.50,8433.50,8423.50,8430.00,12368889,24239580724.00,2859,4612220.63
????_??6,20090214,8430.50,8433.00,8420.00,8420.00,14432290,31379648567.00,5082,4615711.27
????_??6,20090215,8420.00,8423.10,8412.70,8412.70,16758928,36975164733.00,5661,4610229.38
????_??6,20090217,8413.10,8413.10,8390.20,8390.20,25790685,48699442121.00,5883,4606194.89
????_??6,20090218,8389.50,8389.50,8376.60,8376.60,12942983,28370975709.00,3196,4593890.01
????_??6,20090221,8376.00,8376.00,8355.90,8355.90,351708793,380236254740.00,10718,4728962.33
????_??6,20090222,8350.70,8353.60,8291.10,8297.00,45390914,86505727616.00,6807,4716085.10
????_??6,20090223,8297.30,8297.30,8266.20,8266.20,34248906,64752009069.00,5083,4682827.35
????_??6,20090225,8266.00,8266.00,8248.90,8248.90,119714998,134228565531.00,3690,4666804.27
????_??6,20090228,8249.00,8249.00,8236.40,8243.20,117681460,143393818845.00,3654,4657028.53
????_??6,20090301,8243.60,8244.10,8226.50,8226.80,58188667,117706101644.00,5036,4654261.96
????_??6,20090302,8226.00,8226.00,8215.80,8216.10,20240217,31942324770.00,3537,4645388.50
????_??6,20090303,8215.00,8215.00,8200.90,8200.90,20748533,35563777137.00,3334,4636361.77
????_??6,20090304,8200.80,8200.80,8184.20,8185.30,15900708,27887571531.00,4012,4625733.12
????_??6,20090307,8176.00,8176.00,8133.50,8133.50,15883220,31039614500.00,3379,4616929.65
????_??6,20090308,8130.20,8130.20,8111.00,8111.20,18241229,30226331246.00,3440,4587718.73
????_??6,20090309,8111.90,8111.90,8096.00,8096.00,14195437,34556309916.00,3501,4575167.68
????_??6,20090310,8095.90,8136.00,8089.90,8126.50,24876844,59278508698.00,4697,4566594.74
????_??6,20090311,8131.60,8136.50,8127.40,8130.40,49010484,183613222434.00,4682,4583806.85
????_??6,20090314,8131.70,8132.60,8119.00,8120.30,47365027,189699761498.00,4426,4582479.31
????_??6,20090316,8120.40,8128.50,7972.30,7977.10,77539252,115715000656.00,6676,4577155.83
????_??6,20090317,7978.90,7980.50,7965.30,7972.30,92511733,281003871694.00,5525,4495802.27
????_??6,20090318,7974.40,7975.00,7955.20,7966.50,82347367,203118370356.00,5442,4492790.50
????_??6,20090325,7966.20,7966.50,7964.10,7965.60,8287992,21687473020.00,1402,4487688.85
????_??6,20090328,7965.00,7967.00,7962.10,7965.80,10809009,23549416509.00,1970,4487180.77
????_??6,20090329,7961.60,7961.60,7949.30,7955.40,20214777,45806183356.00,3319,4488086.96
????_??6,20090330,7957.80,7970.30,7955.20,7970.30,16563010,30117446537.00,3429,4482247.45
????_??6,20090331,7976.10,7990.90,7976.10,7988.70,31654393,52942793958.00,4998,4490637.75
????_??6,20090404,7989.10,8001.60,7986.60,8001.60,22199439,32905218362.00,3608,4501003.17
????_??6,20090405,7995.60,8006.00,7994.30,8006.00,40876741,75090271672.00,8479,4508258.21
????_??6,20090406,8009.50,8049.00,8009.50,8049.00,30413756,80346637718.00,6342,4510740.71
????_??6,20090407,8060.80,8077.90,8060.40,8077.90,37834725,84325579920.00,6798,4534959.37
????_??6,20090408,8082.40,8111.10,8082.40,8111.10,26395865,61917809306.00,6302,4551244.95
????_??6,20090411,8118.80,8153.50,8117.60,8153.50,23747070,55338639066.00,5171,4570122.29
????_??6,20090412,8174.20,8176.00,8165.50,8175.90,51329456,210595915032.00,7117,4594017.73
????_??6,20090413,8189.60,8203.60,8189.60,8203.60,57739444,119111072613.00,11024,4606612.97
????_??6,20090414,8236.00,8252.50,8236.00,8252.40,73334747,129676021868.00,9215,4622256.45
????_??6,20090415,8246.90,8261.70,8246.90,8251.60,39761013,68522264539.00,5799,4649733.48
????_??6,20090418,8251.20,8290.40,8251.20,8290.40,63018011,138395594655.00,8493,4649307.19
????_??6,20090419,8306.20,8348.00,8306.20,8348.00,71853075,120800734076.00,13655,4655982.14
????_??6,20090420,8351.30,8431.20,8351.30,8431.20,99531564,169109504311.00,17686,4688223.42
????_??6,20090421,8434.20,8436.30,8434.20,8434.90,16217968,28674660317.00,3635,4735700.44
????_??6,20090422,8457.60,8485.40,8457.60,8476.40,81308188,131972032420.00,18476,4737800.67
????_??6,20090425,8490.30,8497.90,8468.40,8469.10,62495536,99574222323.00,12085,4760982.45
????_??6,20090426,8470.10,8523.20,8470.10,8502.60,62867611,178263534092.00,15365,4756874.51
????_??6,20090427,8503.00,8521.00,8503.00,8518.10,54260348,118410935178.00,10034,4775992.76
????_??6,20090428,8533.50,8533.70,8526.80,8527.80,121128789,189275177036.00,17883,4784360.93
????_??6,20090429,8546.90,8546.90,8533.30,8535.00,40967613,108546822104.00,8556,4789814.05
????_??6,20090502,8546.30,8551.60,8517.20,8548.30,48290510,84114742214.00,10049,4793850.38
????_??6,20090503,8557.00,8595.20,8557.00,8584.60,56880538,104099552035.00,11594,4801332.00
????_??6,20090504,8624.90,8638.80,8624.00,8638.30,58462401,107201600427.00,11923,4821709.07
????_??6,20090505,8692.90,8702.50,8692.90,8699.50,76206622,193780238288.00,13534,4851881.10
????_??6,20090506,8743.10,8774.20,8743.10,8774.20,48955870,131256728997.00,9669,4885538.71
????_??6,20090509,8830.20,8872.40,8830.20,8872.40,45697465,110502605358.00,9463,4927101.79
????_??6,20090510,8878.00,8930.40,8878.00,8930.40,59449003,162843416161.00,10225,4981933.62
????_??6,20090511,8982.60,8989.90,8975.30,8989.50,211609077,388695346361.00,22842,5013530.12
????_??6,20090512,8988.50,8995.90,8965.70,8968.30,128913971,260627117569.00,16213,5075442.89
????_??6,20090513,8938.00,8938.00,8924.50,8932.10,90427284,163465576110.00,13390,5063091.04
????_??6,20090516,8922.70,8923.40,8882.90,8888.00,77885285,155145102260.00,10597,5039221.67
????_??6,20090517,8896.10,8933.20,8858.40,8919.40,80567706,158506053811.00,10802,5011648.66
????_??6,20090518,8930.20,8966.90,8930.20,8963.80,58056462,120931871759.00,9402,5028048.40
????_??6,20090519,8969.10,8978.20,8956.30,8956.30,220321066,359729776771.00,15618,5177589.54
????_??6,20090520,8968.20,9006.00,8968.20,9000.80,140575850,226995140620.00,11814,5170488.69
????_??6,20090523,9000.90,9042.80,9000.90,9042.10,50508722,78821042506.00,8189,5194197.84
????_??6,20090524,9050.70,9051.70,9016.30,9019.50,195181149,288224115560.00,15015,5205894.94
????_??6,20090525,9017.20,9017.20,8971.10,8971.10,100958459,163678114426.00,10577,5192513.83
????_??6,20090526,8967.20,8967.20,8934.60,8934.60,110291336,179113718549.00,10360,5162694.99
????_??6,20090527,8937.00,8953.70,8937.00,8953.70,43891861,113497520446.00,7264,5140925.68
????_??6,20090530,8956.90,9001.90,8956.90,9001.30,61796820,109042477591.00,9701,5127802.52
????_??6,20090531,9002.50,9013.00,8998.20,9000.60,78904182,137277171990.00,10345,5149523.03
